Roll,Pitch,Label
51.23,8.16,slouch
51.23,8.13,slouch
51.27,8.13,slouch
51.29,8.20,slouch
51.33,8.20,slouch
51.40,8.15,slouch
51.45,8.13,slouch
51.44,8.06,slouch
51.44,8.03,slouch
51.37,7.99,slouch
51.34,7.97,slouch
51.39,8.00,slouch
51.45,8.05,slouch
51.51,8.05,slouch
51.36,8.10,slouch
51.36,8.08,slouch
51.38,8.06,slouch
51.39,8.08,slouch
51.31,8.09,slouch
51.34,8.16,slouch
51.32,8.18,slouch
51.29,8.20,slouch
51.23,8.17,slouch
51.25,8.13,slouch
51.26,8.08,slouch
51.25,8.01,slouch
51.22,7.99,slouch
51.24,8.00,slouch
51.22,8.00,slouch
51.17,7.98,slouch
51.16,7.97,slouch
51.28,7.98,slouch
51.28,8.06,slouch
51.37,8.04,slouch
51.41,8.06,slouch
51.36,7.99,slouch
51.35,7.90,slouch
51.37,7.86,slouch
51.35,7.88,slouch
51.33,7.86,slouch
51.30,7.90,slouch
51.28,7.93,slouch
51.29,7.94,slouch
51.32,7.92,slouch
51.30,7.87,slouch
51.33,7.83,slouch
51.40,7.85,slouch
51.39,7.91,slouch
51.35,7.89,slouch
51.33,7.97,slouch
51.35,7.97,slouch
51.42,7.99,slouch
51.38,7.98,slouch
51.44,7.98,slouch
51.40,7.95,slouch
51.44,7.91,slouch
51.48,7.90,slouch
51.50,7.84,slouch
51.46,7.79,slouch
51.44,7.73,slouch
51.50,7.62,slouch
51.50,7.59,slouch
51.50,7.56,slouch
51.50,7.55,slouch
51.49,7.66,slouch
51.45,7.75,slouch
51.45,7.82,slouch
51.40,7.89,slouch
51.40,7.91,slouch
51.40,7.99,slouch
51.39,8.04,slouch
51.39,8.11,slouch
51.38,8.19,slouch
51.37,8.21,slouch
51.37,8.24,slouch
51.30,8.23,slouch
51.30,8.25,slouch
51.27,8.20,slouch
51.27,8.13,slouch
51.29,8.08,slouch
51.33,8.03,slouch
51.24,8.04,slouch
51.27,8.03,slouch
51.30,7.99,slouch
51.27,7.98,slouch
51.32,7.97,slouch
51.33,7.97,slouch
51.36,7.95,slouch
51.30,7.99,slouch
51.33,7.98,slouch
51.37,7.96,slouch
51.45,7.93,slouch
51.46,7.95,slouch
51.44,8.00,slouch
51.50,8.01,slouch
51.54,8.02,slouch
51.53,8.06,slouch
51.51,8.11,slouch
51.52,8.12,slouch
51.61,8.20,slouch
51.70,8.19,slouch
51.71,8.24,slouch
51.73,8.20,slouch
51.74,8.21,slouch
51.69,8.18,slouch
51.65,8.16,slouch
51.61,8.13,slouch
51.63,8.08,slouch
51.62,8.12,slouch
51.69,8.13,slouch
51.69,8.13,slouch
51.75,8.10,slouch
51.72,8.07,slouch
51.65,8.07,slouch
51.60,8.05,slouch
51.59,8.06,slouch
51.62,8.00,slouch
51.63,8.00,slouch
51.64,7.98,slouch
51.61,7.99,slouch
51.67,8.03,slouch
51.73,8.05,slouch
51.74,8.08,slouch
51.74,8.11,slouch
51.78,8.20,slouch
51.77,8.25,slouch
51.69,8.31,slouch
51.72,8.31,slouch
51.66,8.36,slouch
51.63,8.35,slouch
51.59,8.35,slouch
51.59,8.33,slouch
51.55,8.26,slouch
51.60,8.22,slouch
51.69,8.18,slouch
51.70,8.14,slouch
51.76,8.10,slouch
51.78,8.05,slouch
51.83,8.07,slouch
51.75,8.08,slouch
51.73,8.05,slouch
51.71,8.05,slouch
51.73,8.08,slouch
51.74,8.08,slouch
51.76,8.14,slouch
51.77,8.18,slouch
51.75,8.23,slouch
51.81,8.22,slouch
51.79,8.24,slouch
51.75,8.29,slouch
51.78,8.31,slouch
51.76,8.28,slouch
51.77,8.26,slouch
51.77,8.25,slouch
51.73,8.26,slouch
51.78,8.23,slouch
51.78,8.23,slouch
51.84,8.17,slouch
51.91,8.17,slouch
51.89,8.15,slouch
51.92,8.10,slouch
51.83,8.14,slouch
51.81,8.15,slouch
51.85,8.25,slouch
51.90,8.28,slouch
51.96,8.33,slouch
52.00,8.38,slouch
52.02,8.38,slouch
51.93,8.33,slouch
51.84,8.26,slouch
51.79,8.24,slouch
51.78,8.19,slouch
51.79,8.22,slouch
51.83,8.21,slouch
51.83,8.24,slouch
51.81,8.24,slouch
51.72,8.24,slouch
51.74,8.23,slouch
51.73,8.18,slouch
51.71,8.18,slouch
51.76,8.10,slouch
51.84,8.07,slouch
51.90,7.97,slouch
51.89,7.90,slouch
51.91,7.92,slouch
51.97,7.95,slouch
52.03,7.99,slouch
52.03,7.99,slouch
52.10,7.96,slouch
52.20,7.97,slouch
52.19,8.01,slouch
52.21,8.06,slouch
52.21,8.11,slouch
52.21,8.10,slouch
52.21,8.15,slouch
52.20,8.18,slouch
52.19,8.24,slouch
52.19,8.34,slouch
52.16,8.34,slouch
52.12,8.34,slouch
52.07,8.32,slouch
52.11,8.34,slouch
52.20,8.31,slouch
52.25,8.30,slouch
52.19,8.30,slouch
52.20,8.23,slouch
52.19,8.17,slouch
52.13,8.13,slouch
52.18,8.12,slouch
52.17,8.14,slouch
52.12,8.09,slouch
52.11,8.08,slouch
52.10,8.11,slouch
52.08,8.14,slouch
52.01,8.11,slouch
51.97,8.10,slouch
51.90,8.07,slouch
51.90,8.00,slouch
51.87,8.06,slouch
51.80,8.12,slouch
51.81,8.11,slouch
51.86,8.09,slouch
51.89,8.06,slouch
51.93,8.07,slouch
51.96,8.02,slouch
51.92,7.96,slouch
51.90,7.97,slouch
51.84,7.95,slouch
51.77,7.91,slouch
51.73,7.97,slouch
51.74,8.01,slouch
51.73,8.03,slouch
51.82,8.01,slouch
51.82,7.99,slouch
51.79,7.99,slouch
51.85,7.97,slouch
51.87,7.93,slouch
51.85,7.88,slouch
51.86,7.85,slouch
51.90,7.89,slouch
51.95,7.94,slouch
51.96,8.00,slouch
51.94,8.03,slouch
51.93,8.04,slouch
51.94,8.06,slouch
51.93,8.01,slouch
51.95,7.97,slouch
51.87,7.92,slouch
51.76,7.88,slouch
51.71,7.89,slouch
51.68,7.91,slouch
51.68,7.92,slouch
51.72,7.93,slouch
51.70,7.86,slouch
51.67,7.83,slouch
51.75,7.78,slouch
51.83,7.74,slouch
51.80,7.66,slouch
51.80,7.59,slouch
51.85,7.55,slouch
51.91,7.61,slouch
51.92,7.62,slouch
52.03,7.66,slouch
52.18,7.73,slouch
52.17,7.80,slouch
52.19,7.88,slouch
52.17,8.01,slouch
52.13,8.03,slouch
52.11,8.06,slouch
52.11,8.11,slouch
52.13,8.11,slouch
52.17,8.11,slouch
52.21,8.17,slouch
52.25,8.17,slouch
52.28,8.19,slouch
52.31,8.20,slouch
52.26,8.19,slouch
52.30,8.15,slouch
52.34,8.16,slouch
52.25,8.10,slouch
52.28,8.06,slouch
52.30,8.00,slouch
52.18,8.03,slouch
52.07,8.03,slouch
52.07,8.04,slouch
52.11,8.09,slouch
52.13,8.13,slouch
52.20,8.10,slouch
52.13,8.06,slouch
52.00,7.99,slouch
51.94,7.98,slouch
51.96,8.03,slouch
52.00,8.03,slouch
51.96,8.05,slouch
51.93,8.06,slouch
51.93,8.12,slouch
51.87,8.16,slouch
51.85,8.11,slouch
51.86,8.14,slouch
51.83,8.06,slouch
51.83,7.99,slouch
51.84,8.02,slouch
51.76,8.00,slouch
51.74,8.02,slouch
51.74,8.06,slouch
51.79,8.07,slouch
51.76,8.05,slouch
51.76,8.03,slouch
51.75,8.06,slouch
51.82,8.06,slouch
51.86,8.03,slouch
51.84,8.06,slouch
51.82,8.04,slouch
51.80,8.03,slouch
51.79,8.05,slouch
51.81,8.07,slouch
51.80,8.13,slouch
51.78,8.15,slouch
51.74,8.10,slouch
51.72,8.16,slouch
51.81,8.01,slouch
51.74,7.88,slouch
51.80,7.82,slouch
51.77,7.77,slouch
51.74,7.74,slouch
51.82,7.70,slouch
51.86,7.73,slouch
51.80,7.80,slouch
51.83,7.81,slouch
51.85,7.79,slouch
51.83,7.79,slouch
51.81,7.83,slouch
51.74,7.86,slouch
51.70,7.86,slouch
51.67,7.83,slouch
51.65,7.81,slouch
51.68,7.72,slouch
51.71,7.66,slouch
51.72,7.58,slouch
51.75,7.55,slouch
51.90,7.55,slouch
52.00,7.58,slouch
52.12,7.65,slouch
52.12,7.73,slouch
52.05,7.75,slouch
52.06,7.87,slouch
51.99,7.94,slouch
51.98,8.05,slouch
52.02,8.13,slouch
51.96,8.13,slouch
52.00,8.15,slouch
52.03,8.18,slouch
52.07,8.22,slouch
52.07,8.20,slouch
52.11,8.17,slouch
52.19,8.11,slouch
52.26,8.13,slouch
52.23,8.14,slouch
52.14,8.16,slouch
52.06,8.15,slouch
52.03,8.20,slouch
52.05,8.20,slouch
52.06,8.21,slouch
51.97,8.23,slouch
51.95,8.25,slouch
51.96,8.23,slouch
51.90,8.24,slouch
51.97,8.18,slouch
52.01,8.18,slouch
52.01,8.11,slouch
51.98,8.12,slouch
