Roll,Pitch,Label
78.73,8.27,upright
78.76,8.18,upright
78.75,8.12,upright
78.79,8.01,upright
78.77,8.00,upright
78.72,8.04,upright
78.68,8.07,upright
78.63,8.12,upright
78.61,8.13,upright
78.67,8.10,upright
78.77,8.08,upright
78.74,8.21,upright
78.73,8.33,upright
78.70,8.47,upright
78.64,8.57,upright
78.53,8.70,upright
78.51,8.75,upright
78.71,8.73,upright
78.79,8.77,upright
78.79,8.78,upright
78.76,8.81,upright
78.79,8.74,upright
78.76,8.73,upright
78.71,8.76,upright
78.67,8.76,upright
78.63,8.78,upright
78.56,8.83,upright
78.58,8.85,upright
78.58,8.89,upright
78.52,8.94,upright
78.51,8.96,upright
78.48,9.03,upright
78.52,9.06,upright
78.64,9.05,upright
78.83,8.97,upright
78.99,8.84,upright
79.05,8.79,upright
79.06,8.74,upright
79.08,8.74,upright
79.15,8.74,upright
79.19,8.70,upright
79.24,8.67,upright
79.22,8.72,upright
79.12,8.79,upright
79.13,8.84,upright
79.17,8.90,upright
79.10,9.02,upright
79.02,9.07,upright
79.02,9.10,upright
78.97,9.15,upright
78.88,9.19,upright
78.81,9.23,upright
78.75,9.27,upright
78.70,9.28,upright
78.58,9.35,upright
78.56,9.39,upright
78.60,9.37,upright
78.58,9.43,upright
78.63,9.42,upright
78.65,9.46,upright
78.74,9.44,upright
78.83,9.42,upright
78.96,9.35,upright
79.09,9.25,upright
79.13,9.25,upright
79.18,9.24,upright
79.29,9.18,upright
79.41,9.13,upright
79.41,9.13,upright
79.47,9.13,upright
79.58,9.10,upright
79.64,9.10,upright
79.71,9.09,upright
79.78,9.06,upright
79.83,9.01,upright
79.86,8.95,upright
79.80,8.97,upright
79.69,9.05,upright
79.71,9.07,upright
79.86,8.98,upright
79.83,9.06,upright
79.79,9.12,upright
79.71,9.20,upright
79.58,9.31,upright
79.51,9.38,upright
79.46,9.49,upright
79.46,9.51,upright
79.48,9.54,upright
79.49,9.62,upright
79.41,9.71,upright
79.40,9.75,upright
79.45,9.75,upright
79.49,9.77,upright
79.48,9.82,upright
79.61,9.74,upright
79.79,9.61,upright
80.02,9.43,upright
80.18,9.25,upright
80.28,9.11,upright
80.31,9.07,upright
80.32,8.97,upright
80.27,8.96,upright
80.18,9.01,upright
80.04,9.13,upright
79.90,9.27,upright
79.88,9.32,upright
79.82,9.47,upright
79.71,9.62,upright
79.67,9.75,upright
79.60,9.88,upright
79.44,10.07,upright
79.24,10.29,upright
79.08,10.48,upright
79.03,10.58,upright
78.97,10.66,upright
78.93,10.72,upright
78.92,10.76,upright
78.89,10.80,upright
78.92,10.77,upright
78.92,10.76,upright
78.96,10.72,upright
79.05,10.64,upright
79.23,10.46,upright
79.44,10.27,upright
79.70,10.03,upright
79.86,9.86,upright
80.07,9.66,upright
80.25,9.49,upright
80.31,9.41,upright
80.31,9.40,upright
80.22,9.45,upright
80.16,9.49,upright
80.00,9.65,upright
79.90,9.75,upright
79.72,9.93,upright
79.59,10.07,upright
79.42,10.26,upright
79.36,10.33,upright
79.32,10.41,upright
79.35,10.42,upright
79.31,10.49,upright
79.32,10.49,upright
79.35,10.47,upright
79.35,10.47,upright
79.48,10.33,upright
79.61,10.21,upright
79.73,10.08,upright
79.81,10.00,upright
79.87,9.93,upright
79.99,9.79,upright
80.11,9.66,upright
80.16,9.60,upright
80.26,9.51,upright
80.39,9.40,upright
80.43,9.37,upright
80.35,9.44,upright
80.27,9.52,upright
80.26,9.53,upright
80.23,9.56,upright
80.20,9.61,upright
80.18,9.66,upright
80.05,9.81,upright
79.99,9.88,upright
79.94,9.94,upright
79.87,10.02,upright
79.81,10.08,upright
79.75,10.14,upright
79.72,10.17,upright
79.68,10.20,upright
79.71,10.17,upright
79.74,10.14,upright
79.85,10.03,upright
79.96,9.94,upright
80.04,9.85,upright
80.08,9.81,upright
80.21,9.69,upright
80.32,9.58,upright
80.42,9.48,upright
80.39,9.50,upright
80.40,9.50,upright
80.40,9.50,upright
80.36,9.55,upright
80.31,9.61,upright
80.25,9.65,upright
80.23,9.67,upright
80.20,9.69,upright
80.17,9.71,upright
80.11,9.77,upright
80.06,9.82,upright
80.08,9.81,upright
80.09,9.80,upright
80.13,9.77,upright
80.09,9.80,upright
80.07,9.82,upright
80.12,9.78,upright
80.18,9.71,upright
80.17,9.73,upright
80.24,9.67,upright
80.30,9.61,upright
80.30,9.60,upright
80.31,9.59,upright
80.33,9.56,upright
80.30,9.58,upright
80.35,9.53,upright
80.37,9.50,upright
80.41,9.47,upright
80.45,9.44,upright
80.46,9.43,upright
80.48,9.40,upright
80.49,9.40,upright
80.45,9.44,upright
80.43,9.45,upright
80.39,9.48,upright
80.38,9.50,upright
80.32,9.55,upright
80.32,9.56,upright
80.34,9.54,upright
80.35,9.55,upright
80.37,9.52,upright
80.40,9.47,upright
80.38,9.49,upright
80.38,9.48,upright
80.37,9.47,upright
80.40,9.44,upright
80.36,9.48,upright
80.38,9.44,upright
80.41,9.42,upright
80.44,9.38,upright
80.48,9.32,upright
80.58,9.22,upright
80.62,9.17,upright
80.65,9.10,upright
80.70,9.07,upright
80.78,9.00,upright
80.82,8.95,upright
80.88,8.90,upright
80.86,8.92,upright
80.83,8.97,upright
80.75,9.06,upright
80.71,9.11,upright
80.75,9.09,upright
80.78,9.07,upright
80.74,9.11,upright
80.69,9.16,upright
80.61,9.24,upright
80.57,9.28,upright
80.62,9.22,upright
80.70,9.14,upright
80.81,9.02,upright
80.85,8.97,upright
80.86,8.96,upright
80.83,8.99,upright
80.82,8.97,upright
80.77,9.01,upright
80.68,9.09,upright
80.61,9.17,upright
80.56,9.23,upright
80.48,9.31,upright
80.45,9.34,upright
80.40,9.40,upright
80.37,9.45,upright
80.36,9.47,upright
80.40,9.43,upright
80.43,9.41,upright
80.46,9.38,upright
80.43,9.40,upright
80.37,9.44,upright
80.34,9.47,upright
80.36,9.48,upright
80.40,9.43,upright
80.41,9.43,upright
80.51,9.34,upright
80.63,9.23,upright
80.72,9.14,upright
80.77,9.09,upright
80.78,9.06,upright
80.71,9.12,upright
80.70,9.12,upright
80.66,9.16,upright
80.69,9.14,upright
80.67,9.17,upright
80.62,9.24,upright
80.54,9.33,upright
80.59,9.29,upright
80.57,9.31,upright
80.54,9.33,upright
80.49,9.37,upright
80.50,9.37,upright
80.44,9.42,upright
80.46,9.40,upright
80.44,9.42,upright
80.41,9.46,upright
80.38,9.51,upright
80.37,9.51,upright
80.30,9.60,upright
80.31,9.59,upright
80.29,9.62,upright
80.27,9.64,upright
80.23,9.68,upright
80.24,9.67,upright
80.28,9.64,upright
80.34,9.58,upright
80.42,9.49,upright
80.46,9.44,upright
80.53,9.38,upright
80.54,9.37,upright
80.58,9.32,upright
80.60,9.29,upright
80.58,9.31,upright
80.53,9.35,upright
80.51,9.37,upright
80.49,9.39,upright
80.52,9.38,upright
80.54,9.36,upright
80.51,9.40,upright
80.45,9.46,upright
80.36,9.55,upright
80.33,9.58,upright
80.29,9.61,upright
80.28,9.64,upright
80.34,9.58,upright
80.39,9.53,upright
80.39,9.54,upright
80.38,9.53,upright
80.35,9.56,upright
80.29,9.61,upright
80.27,9.63,upright
80.31,9.57,upright
80.33,9.56,upright
80.34,9.54,upright
80.32,9.57,upright
80.29,9.61,upright
80.24,9.65,upright
80.22,9.68,upright
80.23,9.68,upright
80.23,9.68,upright
80.28,9.64,upright
80.28,9.65,upright
80.28,9.65,upright
80.30,9.64,upright
80.30,9.64,upright
80.31,9.63,upright
80.29,9.65,upright
80.31,9.62,upright
80.31,9.62,upright
80.35,9.58,upright
80.37,9.56,upright
80.40,9.54,upright
80.44,9.50,upright
80.44,9.51,upright
80.48,9.47,upright
80.45,9.51,upright
80.42,9.53,upright
80.37,9.57,upright
80.35,9.59,upright
80.33,9.61,upright
80.36,9.60,upright
80.35,9.61,upright
80.37,9.60,upright
80.44,9.53,upright
80.53,9.45,upright
80.56,9.42,upright
80.55,9.40,upright
80.57,9.39,upright
80.57,9.38,upright
80.53,9.41,upright
80.52,9.43,upright
80.48,9.47,upright
80.55,9.41,upright
80.61,9.36,upright
80.65,9.33,upright
80.65,9.34,upright
80.69,9.30,upright
80.75,9.24,upright
80.74,9.25,upright
80.72,9.27,upright
80.69,9.29,upright
80.66,9.33,upright
80.60,9.39,upright
80.55,9.44,upright
80.48,9.50,upright
80.39,9.59,upright
80.40,9.59,upright
80.47,9.52,upright
80.55,9.44,upright
80.63,9.37,upright
80.62,9.37,upright
80.63,9.36,upright
80.62,9.36,upright
80.66,9.32,upright
80.65,9.34,upright
80.64,9.34,upright
80.70,9.29,upright
80.68,9.31,upright
80.59,9.39,upright
80.54,9.45,upright
80.47,9.52,upright
80.43,9.56,upright
80.35,9.63,upright
80.27,9.70,upright
80.22,9.76,upright
80.16,9.82,upright
80.19,9.80,upright
80.26,9.73,upright
80.23,9.76,upright
80.25,9.73,upright
80.36,9.63,upright
80.49,9.50,upright
80.57,9.41,upright
80.62,9.37,upright
80.67,9.31,upright
80.60,9.39,upright
80.56,9.42,upright
80.54,9.44,upright
80.58,9.40,upright
80.55,9.43,upright
80.53,9.46,upright
80.50,9.49,upright
80.48,9.51,upright
80.45,9.54,upright
80.44,9.55,upright
80.44,9.55,upright
80.32,9.67,upright
80.26,9.73,upright
80.27,9.72,upright
80.27,9.72,upright
80.28,9.72,upright
80.35,9.65,upright
80.41,9.59,upright
80.42,9.58,upright
80.44,9.55,upright
80.40,9.59,upright
80.40,9.60,upright
80.36,9.62,upright
80.31,9.68,upright
80.33,9.66,upright
80.34,9.65,upright
80.43,9.56,upright
80.41,9.58,upright
80.44,9.55,upright
80.46,9.53,upright
80.47,9.51,upright
80.39,9.59,upright
80.38,9.60,upright
80.35,9.63,upright
80.31,9.66,upright
80.25,9.73,upright
80.19,9.79,upright
80.14,9.83,upright
80.15,9.83,upright
80.14,9.84,upright
80.15,9.82,upright
80.27,9.71,upright
80.30,9.68,upright
80.30,9.68,upright
80.31,9.67,upright
80.29,9.69,upright
80.32,9.66,upright
80.30,9.67,upright
80.27,9.71,upright
80.28,9.69,upright
80.21,9.76,upright
80.19,9.78,upright
80.11,9.85,upright
80.10,9.86,upright
80.08,9.86,upright
80.09,9.85,upright
80.10,9.84,upright
80.08,9.86,upright
80.04,9.89,upright
79.97,9.95,upright
79.89,10.01,upright
79.86,10.04,upright
79.81,10.10,upright
79.81,10.10,upright
79.81,10.10,upright
79.82,10.10,upright
79.94,9.99,upright
79.96,9.96,upright
80.00,9.92,upright
80.02,9.90,upright
80.06,9.86,upright
80.08,9.83,upright
80.08,9.85,upright
79.96,9.94,upright
79.96,9.95,upright
79.97,9.94,upright
79.99,9.94,upright
80.04,9.90,upright
80.10,9.85,upright
80.21,9.74,upright
80.27,9.68,upright
80.36,9.58,upright
80.42,9.51,upright
80.50,9.43,upright
80.59,9.34,upright
80.60,9.32,upright
80.51,9.39,upright
80.54,9.36,upright
80.50,9.39,upright
80.48,9.42,upright
80.46,9.43,upright
80.42,9.48,upright
80.34,9.57,upright
80.28,9.64,upright
80.18,9.74,upright
80.08,9.83,upright
80.10,9.82,upright
80.04,9.88,upright
80.03,9.90,upright
80.06,9.86,upright
80.10,9.82,upright
80.18,9.73,upright
80.29,9.61,upright
80.39,9.51,upright
